measure,sub,run,sa_lambda,sa_inf,gc
pearson,sub-pa1372,01,20.72026161915782,-0.08290973129143599,0.01288604736328125
pearson,sub-pa1372,02,21.348740774120742,-0.08241556650649515,0.01045989990234375
pearson,sub-pa1387,01,21.19191607312803,-0.049724824723662506,0.0235137939453125
pearson,sub-pa1387,02,19.185199121534612,-0.04736032459670913,0.018524169921875
pearson,sub-pa1416,01,18.564403904801818,-0.05364899226932475,0.020751953125
pearson,sub-pa1416,02,17.72069366193917,-0.03002711770922199,0.0221710205078125
pearson,sub-pa1560,01,17.079563351878264,-0.06249427236961077,0.023681640625
pearson,sub-pa1560,02,17.916454474146224,-0.03936886556991881,0.0172882080078125
pearson,sub-pa1582,01,20.87622528286753,-0.07204715067216902,0.020233154296875
pearson,sub-pa1582,02,18.53428564170875,-0.05373756990234519,0.01361846923828125
pearson,sub-pa1604,01,16.746475265001386,-0.04822565488340109,0.01983642578125
pearson,sub-pa1604,02,17.048130954543385,-0.06071234361167276,0.01558685302734375
pearson,sub-pa1674,01,20.706436307893984,-0.03927068803428404,0.01369476318359375
pearson,sub-pa1674,02,19.30736281005786,-0.04312948201333216,0.008941650390625
pearson,sub-pa1700,01,22.53155750017228,-0.05718478556760318,0.01505279541015625
pearson,sub-pa1700,02,21.8686565657274,-0.06319021686785208,0.0158233642578125
pearson,sub-pa1766,01,28.296876692171654,-0.10394494574010879,0.0399169921875
pearson,sub-pa1766,02,22.05252796890718,-0.051943480555174296,0.027313232421875
pearson,sub-pa1792,01,15.160851561325435,-0.0305032310284441,0.01226043701171875
pearson,sub-pa1792,02,19.14824831550809,-0.06990920067759622,0.01296234130859375
pearson,sub-pa1811,01,20.935690543070404,-0.04639718532827173,0.021881103515625
pearson,sub-pa1811,02,19.24039996418987,-0.048639873234451916,0.02093505859375
pearson,sub-pa1834,01,20.394041093133513,-0.05527864100696883,0.028594970703125
pearson,sub-pa1834,02,23.202379779726282,-0.09246888825434728,0.01727294921875
pearson,sub-pa1841,01,18.248792755330225,-0.019100357150165326,0.0212554931640625
pearson,sub-pa1841,02,23.76314589453472,-0.09090337442766627,0.02227783203125
pearson,sub-pa1859,01,21.346155296596727,-0.06785180708084039,0.0196533203125
pearson,sub-pa1859,02,20.1124752598494,-0.03922780275585456,0.037506103515625
pearson,sub-pa1913,01,18.677252372181044,-0.04044374334947008,0.0130615234375
pearson,sub-pa1913,02,23.55493661620402,-0.09173765298091446,0.016571044921875
pearson,sub-pa1940,01,22.090118231387954,-0.05328108779153336,0.037384033203125
pearson,sub-pa1940,02,18.97337273590362,-0.04610979721235958,0.01232147216796875
pearson,sub-pa1978,01,21.837711459231592,-0.06752177322760418,0.01459503173828125
pearson,sub-pa1978,02,23.388969773701504,-0.0761363423775129,0.0300445556640625
pearson,sub-pa2079,01,18.917255727680185,-0.07384207309726898,0.0189971923828125
pearson,sub-pa2079,02,20.096823951771007,-0.05468109818028048,0.0231475830078125
pearson,sub-pa2100,01,22.81372870477764,-0.09702074834583466,0.0119781494140625
pearson,sub-pa2100,02,21.286824371426967,-0.06304997049495766,0.0171356201171875
pearson,sub-pa2106,01,20.13223712146607,-0.04528723557074964,0.026123046875
pearson,sub-pa2106,02,25.27096438730724,-0.07891659817058015,0.040740966796875
pearson,sub-pa2196,01,21.54399717263899,-0.06426557640154944,0.01959228515625
pearson,sub-pa2196,02,22.4318553067834,-0.06807824361796677,0.01398468017578125
pearson,sub-pa2213,01,21.732492187385294,-0.04612353205939065,0.0235443115234375
pearson,sub-pa2213,02,19.675719452808067,-0.010786668311239372,0.04168701171875
pearson,sub-pa2216,01,17.674329551620072,-0.035427404071082365,0.0157470703125
pearson,sub-pa2216,02,17.326644081421982,-0.04257473752931829,0.0126800537109375
pearson,sub-pa2220,01,19.605973973419868,-0.037556078041175965,0.022064208984375
pearson,sub-pa2220,02,21.092593885714237,-0.05748225669917118,0.0244293212890625
pearson,sub-pa2221,01,25.11209660539895,-0.1201532090573998,0.0289154052734375
pearson,sub-pa2221,02,22.297962513445864,-0.06907600847934697,0.028472900390625
pearson,sub-pa2226,01,20.71418053224694,-0.0819671005555483,0.01168060302734375
pearson,sub-pa2226,02,20.278904036426802,-0.06869608851275846,0.016754150390625
