Variable,HCP-YA: MRI,HCP-YA: MEG,YRSP,MPH (placebo),Risperidone (placebo),Ketamine (placebo),Midazolam (placebo),HCP-EP (controls),HCP-EP (PSY)
n,112,33,26,30,19,29,28,55,96
gender,"F=64, M=48","M=17, F=16","F=16, M=11 *","F=11, M=10 *","F=0, M=21 *","F=0, M=30 *","F=0, M=30 *","M=36, F=19","M=56, F=40"
age,29.01 ± 3.65 (22.00 - 36.00),28.55 ± 3.54 (22.00 - 35.00),26.52 ± 4.04 *,33 ± 9.5 *,27.56 ± 6.87 *,27.3 ± 6.2 *,27.3 ± 6.2 *,24.82 ± 4.07 (16.83 - 35.67),22.66 ± 3.62 (16.67 - 34.83)
mean_fd,0.15 ± 0.04 (0.09 - 0.26),,0.15 ± 0.04 (0.10 - 0.25),,0.19 ± 0.07 (0.07 - 0.36),0.15 ± 0.05 (0.08 - 0.31),0.15 ± 0.05 (0.08 - 0.29),0.11 ± 0.04 (0.05 - 0.21),0.13 ± 0.05 (0.04 - 0.26)
gc,0.02 ± 0.01 (0.01 - 0.04),0.11 ± 0.03 (0.05 - 0.21),0.02 ± 0.01 (0.01 - 0.03),0.04 ± 0.02 (0.01 - 0.11),0.06 ± 0.03 (0.02 - 0.15),0.10 ± 0.07 (0.02 - 0.24),0.10 ± 0.07 (0.02 - 0.24),0.02 ± 0.01 (0.01 - 0.04),0.02 ± 0.01 (0.01 - 0.04)
bmi,26.03 ± 4.86 (18.44 - 39.60),,,,,,,,
sestot,,,,,,,,2.06 ± 1.07 (1.00 - 5.00),2.21 ± 1.17 (1.00 - 5.00)
panss_total,,,,,,,,,49.19 ± 11.32 (29.00 - 78.00)
panss_pos,,,,,,,,,11.09 ± 3.99 (7.00 - 23.00)
panss_neg,,,,,,,,,13.73 ± 5.46 (2.00 - 32.00)
apd_exp_months,,,,,,,,0.00 ± 0.00 (0.00 - 0.00),13.18 ± 14.95 (0.00 - 54.00)
apd_chlor_equiv,,,,,,,,0.00 ± 0.00 (0.00 - 0.00),159.47 ± 222.21 (0.00 - 1000.00)
nih_totalcogcomp_unadjusted,,,,,,,,113.23 ± 8.09 (93.00 - 130.00),101.47 ± 12.99 (62.00 - 123.00)
