,hemi-L_lab-Thalamus,hemi-L_lab-Caudate,hemi-L_lab-Putamen,hemi-L_lab-Pallidum,hemi-L_lab-Hippocampus,hemi-L_lab-Amygdala,hemi-L_lab-Accumbens+area,hemi-L_lab-VentralDC,hemi-R_lab-Thalamus,hemi-R_lab-Caudate,hemi-R_lab-Putamen,hemi-R_lab-Pallidum,hemi-R_lab-Hippocampus,hemi-R_lab-Amygdala,hemi-R_lab-Accumbens+area,hemi-R_lab-VentralDC
5HT1a,0.0475581362843513,,0.0776123031973838,0.0264208726584911,0.3440326154232025,0.1962101012468338,0.0885308533906936,,0.0474514253437519,,0.0908633023500442,0.0302612092345953,0.3652082085609436,0.1875314563512802,0.0845330134034156,
5HT1b,0.1387304812669754,0.1882202178239822,0.3406001329421997,0.5754188299179077,0.10137190669775,0.1899735778570175,0.2866463363170624,,0.1354689300060272,0.1656131297349929,0.3224027156829834,0.5661165714263916,0.0859435424208641,0.1728124618530273,0.3103826940059662,
5HT2a,0.099354900419712,0.0501177236437797,0.1231428012251854,0.0731305852532386,0.1347410976886749,0.1402376294136047,0.1763174384832382,,0.0981992036104202,0.0463426411151886,0.1071182489395141,0.0681627243757247,0.1208850070834159,0.1186719164252281,0.134819895029068,
5HT4,0.1215075403451919,0.5405166149139404,0.6106365919113159,0.5642977356910706,0.1625316888093948,0.1530400961637497,0.2517988979816437,,0.1260317265987396,0.4775612652301788,0.6019773483276367,0.4963087439537048,0.1550581753253936,0.1414894759654998,0.2763728499412536,
5HT6,0.2466066479682922,0.6685454249382019,0.7822592854499817,0.5640743374824524,0.3173281550407409,0.3482219576835632,0.5028418302536011,,0.3123540878295898,0.701062798500061,0.7788066267967224,0.5761549472808838,0.337311178445816,0.3439293205738067,0.558468222618103,
5HTT,0.33062344789505,0.2237531393766403,0.3307890892028808,0.3479526937007904,0.1127338036894798,0.2465111464262008,0.2386220693588256,,0.3450305163860321,0.1879779398441314,0.3314674496650696,0.3088099360466003,0.1014512181282043,0.2227298617362976,0.2690987586975097,
A4B2,0.7241489291191101,0.3595191836357116,0.3482789397239685,0.322387546300888,0.2973421812057495,0.2841047942638397,0.357909232378006,0.5015095472335815,0.7531700730323792,0.3410785794258117,0.3590754568576813,0.3311819732189178,0.3124808967113495,0.2795760929584503,0.3555513918399811,0.4951587915420532
CB1,0.4362172186374664,0.5517864227294922,0.7387070655822754,0.6826652884483337,0.6278568506240845,0.6919312477111816,0.6818441152572632,,0.4651807844638824,0.559490442276001,0.7627038359642029,0.6924043297767639,0.634953498840332,0.6823111772537231,0.712962806224823,
CMRglu,0.6760520339012146,0.7025251984596252,0.8198027014732361,0.6605120301246643,0.4985847771167755,0.4670039117336273,0.6692844033241272,0.5166271328926086,0.6941013336181641,0.7017556428909302,0.8090964555740356,0.6710848212242126,0.499139130115509,0.4569025039672851,0.6837289929389954,0.5169769525527954
D1,0.1326452791690826,0.6289789080619812,0.6812146902084351,0.3378982543945312,0.1216398030519485,0.1808182150125503,0.4963401854038238,0.102063313126564,0.1430400162935257,0.6107174754142761,0.6996757388114929,0.3627903163433075,0.1226836368441581,0.1789724677801132,0.4662961959838867,0.1049029231071472
D23,0.2816326916217804,0.6780080199241638,0.7616034150123596,0.5038901567459106,0.146697461605072,0.2589814364910126,0.552241861820221,0.2247373461723327,0.2793401181697845,0.6638669967651367,0.7452026009559631,0.5081258416175842,0.1464429497718811,0.2531220912933349,0.5365480184555054,0.2288262844085693
DAT,0.3683328926563263,0.3700734972953796,0.6820587515830994,0.7332716584205627,0.3510434031486511,0.3798633217811584,0.6055769920349121,0.3735980987548828,0.3533342182636261,0.4844347834587097,0.6995129585266113,0.6856714487075806,0.3440659642219543,0.369811475276947,0.6035267114639282,0.3693097233772278
FDOPA,0.3482063114643097,0.6820725798606873,0.808410108089447,0.613109290599823,0.3404218852519989,0.424869567155838,0.6481785774230957,0.4015612602233886,0.344452291727066,0.6606044173240662,0.8066472411155701,0.6245037913322449,0.3418546915054321,0.4261550605297088,0.6554416418075562,0.3956382274627685
GABAa5,0.2236369997262954,0.2946300506591797,0.3074843883514404,0.1629884988069534,0.5309069752693176,0.4391701221466064,0.7229353785514832,0.1282602548599243,0.2244239896535873,0.2869469821453094,0.2968404591083526,0.1478395462036132,0.5408095717430115,0.4239909648895263,0.7118925452232361,0.1333464682102203
GABAa,0.3566507995128631,0.3542104363441467,0.4994418919086456,0.3452574908733368,0.4592034220695495,0.4141699969768524,0.522802472114563,0.2133842259645462,0.3401333689689636,0.3645064830780029,0.4738986194133758,0.3350289762020111,0.403660386800766,0.383156955242157,0.4652441143989563,0.2197232246398925
HDAC,0.5998318195343018,0.6046042442321777,0.7637653946876526,0.5748745799064636,0.4507949650287628,0.4389518499374389,0.659862220287323,0.4804996252059936,0.6218385696411133,0.6050806045532227,0.7786247134208679,0.632631778717041,0.500459611415863,0.491315484046936,0.6407933235168457,0.481950432062149
KOR,0.5020301342010498,0.5135246515274048,0.6652609705924988,0.6993713974952698,0.5425443649291992,0.785911500453949,0.7150228023529053,0.5269063711166382,0.4889957904815674,0.4951484203338623,0.64863121509552,0.6417017579078674,0.5265956521034241,0.7723908424377441,0.7202269434928894,0.5327242612838745
M1,0.1543114632368087,0.6171095371246338,0.7116914987564087,0.384663462638855,0.3258554339408874,0.4421180188655853,0.7202910780906677,0.1272855103015899,0.1524382680654525,0.6140225529670715,0.7274590134620667,0.3919126987457275,0.3246208131313324,0.4417687356472015,0.6932010650634766,0.1326919645071029
mGluR5,0.4591583609580993,0.6441923975944519,0.7029865384101868,0.457426905632019,0.5411404967308044,0.5372588038444519,0.7075667977333069,0.2423698604106903,0.4488877952098846,0.6298434734344482,0.7119455933570862,0.4738590717315674,0.5345869064331055,0.526925265789032,0.6912027597427368,0.2347337156534195
MOR,0.5080579519271851,0.4590165913105011,0.4378294646739959,0.2142196148633957,0.1489904820919037,0.4682628512382507,0.7188344597816467,0.2015158832073211,0.4920117259025574,0.460091769695282,0.4403083026409149,0.2308698892593383,0.1330560445785522,0.4488720595836639,0.6980392336845398,0.199667677283287
NET,0.4585985243320465,0.0735269784927368,0.1411982625722885,0.117134653031826,0.0689996555447578,0.1599991023540496,0.1564399898052215,0.3860940635204315,0.514164924621582,0.0474443435668945,0.1567669510841369,0.1330321580171585,0.0769641995429992,0.1123280376195907,0.1355735659599304,0.3745081126689911
NMDA,0.816012442111969,0.7307733297348022,0.7939251661300659,0.744425356388092,0.7060862183570862,0.598017156124115,0.69548100233078,0.5536500811576843,0.8318825960159302,0.7003240585327148,0.776282012462616,0.7251397967338562,0.700124204158783,0.5906926989555359,0.7033585906028748,0.5471386909484863
SV2A,0.4634320437908172,0.6093971133232117,0.7219720482826233,0.4445034861564636,0.4512416422367096,0.545738935470581,0.7215204834938049,0.2682188749313354,0.4721329808235168,0.5867141485214233,0.7350115180015564,0.472856193780899,0.4598675072193146,0.5581140518188477,0.7242479920387268,0.2829563915729522
VAChT,0.2722099423408508,0.648608922958374,0.716503381729126,0.2519230246543884,0.1995812207460403,0.2415848523378372,0.4858177304267883,0.187628373503685,0.2707415521144867,0.6296777725219727,0.7131386995315552,0.2845893800258636,0.2013052105903625,0.2334716022014618,0.4677635133266449,0.1891562044620514
VMAT2,0.0550417751073837,0.5372875332832336,0.6097744703292847,0.2258753478527069,0.0761828497052192,0.1211775243282318,0.3534778654575348,0.1313889473676681,0.0513291284441947,0.5189600586891174,0.6129900217056274,0.2523224651813507,0.0736050084233284,0.1210295185446739,0.335277646780014,0.1198602467775344
