,label
1,hemi-L_div-Vis_lab-1
2,hemi-L_div-Vis_lab-2
3,hemi-L_div-Vis_lab-3
4,hemi-L_div-Vis_lab-4
5,hemi-L_div-Vis_lab-5
6,hemi-L_div-Vis_lab-6
7,hemi-L_div-Vis_lab-7
8,hemi-L_div-Vis_lab-8
9,hemi-L_div-Vis_lab-9
10,hemi-L_div-SomMot_lab-1
11,hemi-L_div-SomMot_lab-2
12,hemi-L_div-SomMot_lab-3
13,hemi-L_div-SomMot_lab-4
14,hemi-L_div-SomMot_lab-5
15,hemi-L_div-SomMot_lab-6
16,hemi-L_div-DorsAttn_lab-Post+1
17,hemi-L_div-DorsAttn_lab-Post+2
18,hemi-L_div-DorsAttn_lab-Post+3
19,hemi-L_div-DorsAttn_lab-Post+4
20,hemi-L_div-DorsAttn_lab-Post+5
21,hemi-L_div-DorsAttn_lab-Post+6
22,hemi-L_div-DorsAttn_lab-FEF+1
23,hemi-L_div-DorsAttn_lab-FEF+2
24,hemi-L_div-SalVentAttn_lab-ParOper+1
25,hemi-L_div-SalVentAttn_lab-FrOper+1
26,hemi-L_div-SalVentAttn_lab-FrOper+2
27,hemi-L_div-SalVentAttn_lab-PFCl+1
28,hemi-L_div-SalVentAttn_lab-Med+1
29,hemi-L_div-SalVentAttn_lab-Med+2
30,hemi-L_div-SalVentAttn_lab-Med+3
31,hemi-L_div-Limbic_lab-OFC+1
32,hemi-L_div-Limbic_lab-TempPole+1
33,hemi-L_div-Limbic_lab-TempPole+2
34,hemi-L_div-Cont_lab-Par+1
35,hemi-L_div-Cont_lab-PFCl+1
36,hemi-L_div-Cont_lab-pCun+1
37,hemi-L_div-Cont_lab-Cing+1
38,hemi-L_div-Default_lab-Temp+1
39,hemi-L_div-Default_lab-Temp+2
40,hemi-L_div-Default_lab-Temp+3
41,hemi-L_div-Default_lab-Temp+4
42,hemi-L_div-Default_lab-PFC+1
43,hemi-L_div-Default_lab-PFC+2
44,hemi-L_div-Default_lab-PFC+3
45,hemi-L_div-Default_lab-PFC+4
46,hemi-L_div-Default_lab-PFC+5
47,hemi-L_div-Default_lab-PFC+6
48,hemi-L_div-Default_lab-PFC+7
49,hemi-L_div-Default_lab-PCC+1
50,hemi-L_div-Default_lab-PCC+2
51,hemi-R_div-Vis_lab-1
52,hemi-R_div-Vis_lab-2
53,hemi-R_div-Vis_lab-3
54,hemi-R_div-Vis_lab-4
55,hemi-R_div-Vis_lab-5
56,hemi-R_div-Vis_lab-6
57,hemi-R_div-Vis_lab-7
58,hemi-R_div-Vis_lab-8
59,hemi-R_div-SomMot_lab-1
60,hemi-R_div-SomMot_lab-2
61,hemi-R_div-SomMot_lab-3
62,hemi-R_div-SomMot_lab-4
63,hemi-R_div-SomMot_lab-5
64,hemi-R_div-SomMot_lab-6
65,hemi-R_div-SomMot_lab-7
66,hemi-R_div-SomMot_lab-8
67,hemi-R_div-DorsAttn_lab-Post+1
68,hemi-R_div-DorsAttn_lab-Post+2
69,hemi-R_div-DorsAttn_lab-Post+3
70,hemi-R_div-DorsAttn_lab-Post+4
71,hemi-R_div-DorsAttn_lab-Post+5
72,hemi-R_div-DorsAttn_lab-FEF+1
73,hemi-R_div-DorsAttn_lab-FEF+2
74,hemi-R_div-SalVentAttn_lab-TempOccPar+1
75,hemi-R_div-SalVentAttn_lab-TempOccPar+2
76,hemi-R_div-SalVentAttn_lab-FrOper+1
77,hemi-R_div-SalVentAttn_lab-Med+1
78,hemi-R_div-SalVentAttn_lab-Med+2
79,hemi-R_div-Limbic_lab-OFC+1
80,hemi-R_div-Limbic_lab-TempPole+1
81,hemi-R_div-Cont_lab-Par+1
82,hemi-R_div-Cont_lab-Par+2
83,hemi-R_div-Cont_lab-PFCl+1
84,hemi-R_div-Cont_lab-PFCl+2
85,hemi-R_div-Cont_lab-PFCl+3
86,hemi-R_div-Cont_lab-PFCl+4
87,hemi-R_div-Cont_lab-PFCmp+1
88,hemi-R_div-Cont_lab-PFCmp+2
89,hemi-R_div-Cont_lab-PFCmp+3
90,hemi-R_div-Default_lab-Par+1
91,hemi-R_div-Default_lab-Temp+1
92,hemi-R_div-Default_lab-Temp+2
93,hemi-R_div-Default_lab-Temp+3
94,hemi-R_div-Default_lab-PFCv+1
95,hemi-R_div-Default_lab-PFCv+2
96,hemi-R_div-Default_lab-PFCm+1
97,hemi-R_div-Default_lab-PFCm+2
98,hemi-R_div-Default_lab-PFCm+3
99,hemi-R_div-Default_lab-PCC+1
100,hemi-R_div-Default_lab-PCC+2
